time,AmbientTemperature,Ignition
2023-05-25 04:53:52.145000+00:00,37.2,1.0
2023-05-25 05:05:50.747000+00:00,38.0,1.0
2023-05-25 05:10:22.922000+00:00,37.2,1.0
2023-05-25 05:10:30.123000+00:00,38.0,1.0
2023-05-25 05:11:30.606000+00:00,37.2,1.0
2023-05-25 05:16:48.864000+00:00,36.0,1.0
2023-05-25 05:16:53.185000+00:00,37.2,1.0
2023-05-25 05:16:58.945000+00:00,36.0,1.0
2023-05-25 05:27:03.780000+00:00,35.2,1.0
2023-05-25 05:30:39.792000+00:00,36.0,1.0
2023-05-25 05:31:44.596000+00:00,37.2,1.0
2023-05-25 05:33:55.643000+00:00,38.0,1.0
2023-05-25 05:37:46.056000+00:00,39.2,1.0
2023-05-25 05:38:32.139000+00:00,38.0,1.0
2023-05-25 05:39:02.380000+00:00,39.2,1.0
2023-05-25 05:44:00.477000+00:00,40.0,1.0
2023-05-25 05:48:22.572000+00:00,39.2,1.0
2023-05-25 05:49:41.777000+00:00,40.0,1.0
2023-05-25 05:50:59.541000+00:00,39.2,1.0
2023-05-25 05:51:15.382000+00:00,40.0,1.0
2023-05-25 05:51:26.904000+00:00,39.2,1.0
2023-05-25 05:52:50.427000+00:00,40.0,1.0
2023-05-25 05:52:57.628000+00:00,39.2,1.0
2023-05-25 05:54:08.192000+00:00,40.0,1.0
2023-05-25 05:55:05.795000+00:00,39.2,1.0
2023-05-25 05:59:27.890000+00:00,40.0,1.0
2023-05-25 06:00:05.332000+00:00,39.2,1.0
2023-05-25 06:00:34.133000+00:00,40.0,1.0
2023-05-25 06:02:58.142000+00:00,39.2,1.0
2023-05-25 06:04:38.947000+00:00,40.0,1.0
2023-05-25 06:04:43.267000+00:00,39.2,1.0
2023-05-25 06:05:19.270000+00:00,40.0,1.0
2023-05-25 06:09:32.724000+00:00,39.2,1.0
2023-05-25 06:10:08.726000+00:00,40.0,1.0
2023-05-25 06:16:26.027000+00:00,41.2,1.0
2023-05-25 06:16:30.347000+00:00,40.0,1.0
2023-05-25 06:16:37.548000+00:00,41.2,1.0
2023-05-25 06:16:46.188000+00:00,40.0,1.0
